�r;m�n
1860;1874399
1861;1903853
1862;1929522
1863;1958314
1864;1981471
1865;2001184
1866;2023737
1867;2040589
1868;2025342
1869;2014530
1870;2016653
1871;2034396
1872;2057494
1873;2082018
1874;2104838
1875;2127138
1876;2151326
1877;2180060
1878;2205292
1879;2228855
1880;2215243
1881;2215990
1882;2218343
1883;2230782
1884;2252938
1885;2273861
1886;2290340
1887;2296311
1888;2301104
1889;2315370
1890;2317187
1891;2325978
1892;2327883
1893;2336825
1894;2364165
1895;2389260
1896;2412004
1897;2437926
1898;2466638
1899;2486447
1900;2506436
1901;2526179
1902;2535820
1903;2544962
1904;2566934
1905;2584564
1906;2605524
1907;2626456
1908;2654766
1909;2677563
1910;2698729
1911;2718638
1912;2740737
1913;2756946
1914;2777447
1915;2794552
1916;2817950
1917;2841554
1918;2849205
1919;2868395
1920;2898256
1921;2925988
1922;2944031
1923;2948508
1924;2964230
1925;2972554
1926;2982625
1927;2990205
1928;2999562
1929;3007946
1930;3020848
1931;3037064
1932;3053528
1933;3066888
1934;3079690
1935;3090451
1936;3100534
1937;3111256
1938;3125000
1939;3142356
1940;3160128
1941;3180535
1942;3207756
1943;3240631
1944;3279723
1945;3319977
1946;3366694
1947;3407577
1948;3449647
1949;3480604
1950;3506442
1951;3535736
1952;3562475
1953;3583598
1954;3605013
1955;3633983
1956;3659917
1957;3685654
1958;3706039
1959;3722867
1960;3740119
1961;3763040
1962;3782252
1963;3805699
1964;3840897
1965;3882473
1966;3919170
1967;3942223
1968;3959115
1969;3996530
1970;4035911
1971;4048573
1972;4051315
1973;4054525
1974;4067808
1975;4081263
1976;4092582
1977;4104598
1978;4109504
1979;4115522
1980;4119822
1981;4118622
1982;4117357
1983;4116137
1984;4120549
1985;4127110
1986;4137513
1987;4152583
1988;4175880
1989;4212080
1990;4244017
1991;4270623
1992;4294585
1993;4320954
1994;4356254
1995;4366071
1996;4369717
1997;4371913
1998;4375619
1999;4380118
2000;4392753
2001;4408445
2002;4427107
2003;4446656
2004;4466311
2005;4486550
2006;4523523
2007;4563921
2008;4603710
2009;4649014
2010;4690244
2011;4726834
2012;4765905
2013;4814357
2014;4872240
2015;4930966
2016;5013347
2017;5082662
2018;5142438
2019;5195814
2020;5222847
2021;5260707
